H_1280x720_dim_far,H_1280x720_dim_near,H_1920x1080_dim_far,H_1920x1080_dim_near,L_1280x720_dim_far,L_1280x720_dim_near,L_1920x1080_dim_far,L_1920x1080_dim_near,L_3840x2160_dim_far,L_3840x2160_dim_near,M_1280x720_dim_far,M_1280x720_dim_near,M_1920x1080_dim_far,M_1920x1080_dim_near,M_3840x2160_dim_far,M_3840x2160_dim_near
8.84717331569644,7.46308426497777,8.9020842407762,9.28661321756871,5.59187702239454,4.15995905382395,6.9787098536648,6.12052342429058,8.25077198939798,7.40331434919923,7.43770535865231,6.39678941855721,8.95698272960209,7.8596807107798,9.67228660786814,9.50621547817
8.77238354600225,7.90269833173595,9.33171690953026,9.22832385244221,5.04142737934616,4.33701124869077,6.72519579223248,5.83403636089827,8.28222656902397,7.33477574309929,7.62974808297926,6.36281362090856,9.01714873297576,7.80314065821379,9.62370060800564,9.38758618977775
8.86006921044691,8.01395593024655,9.23607614944087,9.17841688770599,5.49258778970844,4.51481196898442,6.97363718036468,5.7355216657049,8.49134270220551,7.3525579693805,7.58938799324041,6.25567649089387,8.84297787626064,7.70869053091252,9.3925311672787,9.25337676410871
8.67112461847071,8.22121161006617,9.43567814193115,9.1495021857357,5.41594912968599,4.32485673450076,6.64510396184223,5.81117990587507,8.4458850520133,7.28569811644465,7.41139656108546,6.27559454949471,8.93572695928175,7.8047280789203,9.5909078557655,9.05801297380027
8.56166267453995,7.97511672669452,9.69441451756465,9.34262000284022,4.99870153802099,3.67333366266635,6.72781444063291,5.71131056339609,8.70159460916573,7.47901757370572,7.33621168136578,6.3789191394643,8.88626353923283,7.81134092911959,10.0243718608793,9.20683048108038
8.71757995687024,8.26352503497565,9.24286829736552,9.35495325898019,5.16137847429188,3.96917250507289,6.555786369391,5.79693092337975,8.43394580250858,7.15186124244107,7.64069237645267,6.28808783782997,8.84842735345313,7.97635752646574,9.7083319529476,9.55608376129024
9.01885101329453,8.19943060190446,10.1396025873105,9.42299256948886,4.67949778115867,2.58598942447394,6.72889204034382,5.24491671702254,8.77373109320938,7.20052397597166,7.58970198009395,6.47107044338629,9.02972664244429,7.69220312835538,10.1564112883573,9.41627425448652
9.13790499045682,8.27648495810007,9.37047888728137,9.35898090107196,5.32908229582139,4.30952866908972,6.44324337027677,5.77749076142262,8.43726508581394,7.13897990229217,7.62237154557013,6.45043266526481,8.84302137303602,7.56492745624533,9.66764805608013,8.91296302588658
9.18807207891915,8.63645423088964,10.4914052147353,9.352699411503,4.81623364679676,1.83269996286771,6.93065540328583,4.96817612690969,8.79963493077202,7.08823313009474,7.69193292381848,6.43040387035637,9.2923206445284,7.58552921484849,9.92418962002095,9.30074106501262
9.06696714109571,8.26538586698963,9.5644679688019,9.40438365162355,4.87468013879504,3.94492465700245,6.36489610659619,5.40222947628624,8.72014235922614,7.22791084000015,7.75240801301676,6.26218204252781,8.91511118398081,7.64387857346811,9.72628301738727,9.13923632579133
8.62512676878989,8.15035628141178,9.42362399153097,9.19594282289894,5.02537289735922,4.67556885742479,6.87889537480856,6.12787271684919,8.30965142555162,7.39982033895727,7.65293385734547,6.39908552120939,8.4845811599593,8.31383764597385,9.06242795036151,9.25092004973814
8.54403427486999,7.86634437263465,9.4463834719904,9.12354018161396,4.89974600643673,4.02374811736697,6.95406547923693,5.94333599270206,8.5202688499992,7.50523135176098,7.45176244676217,6.3812410162554,8.92822804901824,8.10798645649039,9.57770974557632,9.49949923846262
