ref,H_1280x720_bright_near,L_1280x720_bright_far,L_1280x720_bright_near,L_1920x1080_bright_far,L_1920x1080_bright_near,M_1280x720_bright_far,M_1280x720_bright_near,M_1920x1080_bright_far,M_1920x1080_bright_near
10.1948016637992,8.36576097867441,4.22282357567356,3.50509246108727,5.38529103837694,3.41278613201523,8.02856020272328,6.53085982532792,8.50095512872196,6.95575791646607
10.5839302423683,8.42520982862798,3.29996730669424,2.18158394724724,4.91963625545433,3.10228582036493,8.48575368287889,6.64508878672826,9.5150913578525,7.1119964164818
9.62264420819554,8.26727560157034,4.595886217618,3.98124892886659,5.63171753559751,3.47931747467381,7.98832448788949,6.49731102062901,8.03424485083625,7.05521308982592
11.1816947477538,8.85100716215253,3.21666776347592,3.02227393484907,4.78050665651668,2.00645664520845,8.41260367855754,6.67706634510184,8.9028563048683,7.2022955742377
10.5898316479497,9.23175137951197,2.58653843557216,1.57313150282508,4.31764251681216,1.87088489712548,9.11445474359155,7.20363182331571,9.57173183958619,7.94670237131172
9.91187878301982,8.06299785655048,4.51336733908412,3.67309157728568,5.1429997324965,4.14376471968911,7.89267724474933,6.47956017287296,8.47025394004091,7.19571781797432
10.0703703705131,8.32594223170596,4.22314010870879,2.81118195643496,5.50169853847251,3.61644292609831,8.17415434727732,6.30090814489986,8.92151708621792,6.93215001080821
9.76814731573293,8.6326984482312,4.00445999032606,3.49743485794975,5.24573511707841,3.40020286985528,8.19599652861585,6.69501776001458,8.58278448808275,7.1586449756841
9.32504943792602,8.544441448065,4.36982320322922,4.41270132437191,5.54008761683704,4.23215538748262,7.91788928482061,6.33047926597153,7.82904055362429,7.38730845285811
9.92585301948962,8.46596327354003,4.79646326661839,3.9870563258869,5.58480444808264,3.50299664307449,7.98938818958174,6.62941125713436,7.84781465351811,6.63851671016859
10.9332412518277,8.76964053979327,3.41721331043026,2.05521768502735,4.89031924473621,1.83313836104692,9.09566504803844,6.45377571078708,9.57107823863004,7.23475648676183
10.477493401364,8.95463602260794,3.21661219799816,1.97141813105175,4.86759596612844,3.21945358706049,8.69297149443018,6.54805128525113,9.51771148414432,7.13353118839008
10.9171226649601,9.32823139749715,2.66807707390862,0.954934679826007,4.41492267703895,2.63469208156697,9.33407350550738,6.44887027198535,9.81776053727353,7.5039984563649
9.76663177573224,8.59073533958921,4.05915014524063,3.4966874176804,5.51810967113482,3.56738963127063,8.30719506752714,6.67561663859948,8.48473659655395,7.0073606753062
10.4122038649977,8.67729149928408,3.36187293513419,3.51485397329347,5.21832881751979,3.36740875888224,8.19619903506072,6.55489984983395,8.63477570127038,7.08350117905631
9.8434237038369,8.34560309132623,4.2674683309585,3.71698771110215,5.5393002676082,4.08416327393222,7.79995998104991,6.58231724774485,8.17221085977767,7.07652851780322
11.298723953165,9.01210980582601,3.36538496483814,1.70004068601245,4.88295800852884,1.89830189980371,8.6747900568667,6.56126883219328,9.51663449312686,6.9130596680458
9.58900911453971,8.51723186265753,3.89334688736119,3.27764037260084,5.41242943598307,3.78659105382421,8.21774630656989,6.82265086290544,8.44065429904067,7.13609775162465
10.0315958424271,8.7332216389352,3.91136837101767,2.60372432951071,5.17905319733949,3.43268146374477,8.2895512591312,6.26819734746859,8.81255205950186,7.06826208354667
10.1100382528348,8.60266404554123,4.15205502602324,2.25067032838336,5.16647818993707,4.24668618545305,7.97818022761792,6.60150898081603,8.49568578640071,7.02330283776574
10.1038726226378,8.43790421831603,4.02505743393601,3.22965635880724,5.3486561343076,3.42673067684856,8.19720481840378,6.46904933779455,8.71171007197347,6.98746919615835
9.86253941367073,8.267820297384,4.68920142744901,3.92901062913308,5.5159296078826,3.55279182535698,7.96012418630018,6.48738847851089,8.20724396104307,6.74114503964741
9.80724432414898,8.378705417419,4.62378992754148,3.73495320198098,5.51291345756799,3.95281441929366,7.90159084986024,6.60533743940665,7.87378831725435,6.80579994783625
12.0368485878088,9.57491866955039,1.56873065625281,-0.213934545354556,4.02808094611619,1.24310491480537,9.67451949046406,7.05797157162017,10.4081802596589,7.56273915756222
